id,language,version,order_index,section_label,label_original,detail_original,expected_value_type,active,source_file,source_sheet,source_rows,slug,llm_group
fr_021_mgf_ou_crainte_de_mgf,fr,client_excel_v1,21,PROFIL DU DEMANDEUR,MGF ou crainte de MGF?,préciser le type de MGF ( de 1 à 4 ),text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,52,mgf_ou_crainte_de_mgf,profile_vulnerability
fr_022_reexcision_ou_crainte_de_reexcision,fr,client_excel_v1,22,PROFIL DU DEMANDEUR,Réexcision ou crainte de reexcision?,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,54,reexcision_ou_crainte_de_reexcision,profile_vulnerability
fr_023_desinfibulation_subie_ou_prevue,fr,client_excel_v1,23,PROFIL DU DEMANDEUR,Désinfibulation subie ou prévue?,préciser les circonstances,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,56,desinfibulation_subie_ou_prevue,profile_vulnerability
fr_024_mariage_force_et_ou_mariage_precoce_craint_ou_ef,fr,client_excel_v1,24,PROFIL DU DEMANDEUR,Mariage forcé et/ou mariage précoce : craint ou effectif?,"Préciser si lévirat ou sororat, si Polygamie. Préciser âge du mari forcé, si connu",text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,58,mariage_force_et_ou_mariage_precoce_craint_ou_effectif,profile_vulnerability
fr_025_vulnerabilites_particulieres_reconnues_au_demand,fr,client_excel_v1,25,PROFIL DU DEMANDEUR,Vulnérabilités particulières reconnues au demandeur demandeur a t-il subi des violences subies pendant le parcours migratoire? le demandeur a été enrôlé comme enfant-soldat,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,60;62;64,vulnerabilites_particulieres_reconnues_au_demandeur_demandeur_a_t_il_s,profile_vulnerability
fr_026_documents_deposes_a_l_appui_de_la_demande,fr,client_excel_v1,26,PROFIL DU DEMANDEUR,DOCUMENTS DEPOSES à l'appui de la demande:,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,66,documents_deposes_a_l_appui_de_la_demande,profile_vulnerability
fr_027_rapport_medical_depose_preciser_nature_des_obser,fr,client_excel_v1,27,PROFIL DU DEMANDEUR,Rapport médical déposé ( préciser nature des observations cliniques et traitements prescrits ),,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,68,rapport_medical_depose_preciser_nature_des_observations_cliniques_et_t,profile_vulnerability
fr_028_rapport_psychologique_psychiatrique_depose_preci,fr,client_excel_v1,28,PROFIL DU DEMANDEUR,Rapport psychologique/psychiatrique déposé: préciser observations cliniques,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,70,rapport_psychologique_psychiatrique_depose_preciser_observations_clini,profile_vulnerability
fr_029_besoins_proceduraux_speciaux_accordes_art_22_1_1,fr,client_excel_v1,29,PROFIL DU DEMANDEUR,"Besoins procéduraux spéciaux accordés Art. 22, §1/1 Loi accueil)",préciser lesquels,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,72,besoins_proceduraux_speciaux_accordes_art_22_1_1_loi_accueil,profile_vulnerability
fr_030_demande_ulterieure_application_de_l_art_51_8,fr,client_excel_v1,30,PROCEDURE,"Demande ultérieure ( Application de l'art. 51,8 )?",préciser l'élement nouveau fondant la recevabilité de la demande nouvelle,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,77,demande_ulterieure_application_de_l_art_51_8,procedure
fr_031_pays_d_origine_sur_pays_tiers_sur,fr,client_excel_v1,31,PROCEDURE,Pays d'origine sûr/Pays tiers sûr,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,79,pays_d_origine_sur_pays_tiers_sur,procedure
fr_032_persecutions_invoquees_par_le_demandeur,fr,client_excel_v1,32,PROCEDURE,PERSECUTIONS INVOQUEES PAR LE DEMANDEUR,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,82,persecutions_invoquees_par_le_demandeur,procedure
fr_033_persecutions_de_genre_sur_lesquelles_la_dpi_est_,fr,client_excel_v1,33,PROCEDURE,Persécutions de genre sur lesquelles la DPI est fondée: excision/mariage forcé/violences sexuelles/violences domestiques/ esclavage/crimes d'honneur/prostitution/ traite des êtres humains/orientation sexuelle/avortement et stérilisation forcés/opposition à excision,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,84;85,persecutions_de_genre_sur_lesquelles_la_dpi_est_fondee_excision_mariag,profile_vulnerability
fr_034_persecutions_liees_a_des_opinions_politiques_ou_,fr,client_excel_v1,34,PROCEDURE,Persécutions liées à des opinions politiques ou à opposition aux MGF,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,87,persecutions_liees_a_des_opinions_politiques_ou_a_opposition_aux_mgf,profile_vulnerability
fr_035_appartenance_a_un_groupe_social_partageant_des_c,fr,client_excel_v1,35,PROCEDURE,Appartenance à un groupe social partageant des caractéristiques innées et ayant une identité propre,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,89,appartenance_a_un_groupe_social_partageant_des_caracteristiques_innees,procedure
fr_036_decision_de_refus_ou_d_octroi_de_statut_de_refug,fr,client_excel_v1,36,DECISION,Décision de refus ou d'octroi de statut de réfugié antérieur délivrée au demandeur par un autre état membre,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,94,decision_de_refus_ou_d_octroi_de_statut_de_refugie_anterieur_delivree_,decision_reasoning
fr_037_credibilite_du_recit_benefice_du_doute_profitant,fr,client_excel_v1,37,DECISION,"Crédibilité du récit/ bénéfice du doute profitant au demandeur Art. 48,6 &4",,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,96,credibilite_du_recit_benefice_du_doute_profitant_au_demandeur_art_48_6,decision_reasoning
fr_038_application_de_l_art_48_7_persecution_passee_com,fr,client_excel_v1,38,DECISION,Application de l'Art. 48/7 (persécution passée comme indice sérieux de persécution future),,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,98,application_de_l_art_48_7_persecution_passee_comme_indice_serieux_de_p,persecution_claims
fr_039_caractere_permanent_des_sequelles_eu_egard_aux_c,fr,client_excel_v1,39,DECISION,"Caractère permanent des séquelles, eu égard aux circonstances particulièrement atroce, rendant le retour au pays impossible",,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,100,caractere_permanent_des_sequelles_eu_egard_aux_circonstances_particuli,decision_reasoning
fr_040_1_quel_est_l_agent_de_persecution_2_quel_est_l_a,fr,client_excel_v1,40,DECISION,1. Quel est l'agent de persécution 2. Quel est l'agent(s) de protection,application de l'art. 48/5 &1 et &2,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,102,1_quel_est_l_agent_de_persecution_2_quel_est_l_agent_s_de_protection,persecution_claims
fr_041_existe_t_il_une_protection_nationale_effective_e,fr,client_excel_v1,41,DECISION,"Existe-t'il une protection nationale effective et/ou une possibilité de fuite interne ( art. 48,5 &3 )","Application de l' art. 48,5 &3",text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,104,existe_t_il_une_protection_nationale_effective_et_ou_une_possibilite_d,identity
fr_042_motivation_du_cgra,fr,client_excel_v1,42,DECISION,Motivation du CGRA,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,106,motivation_du_cgra,decision_reasoning
fr_043_motivation_du_cce,fr,client_excel_v1,43,DECISION,Motivation du CCE,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,108,motivation_du_cce,decision_reasoning
fr_044_s_agit_il_d_un_arret_de_principe_et_ou_d_une_evo,fr,client_excel_v1,44,DECISION,S'agit-il d'un arrêt de principe et/ou d'une évolution de la jurisprudence ou d'une confirmation de la jusisprudence actuelle?,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,111,s_agit_il_d_un_arret_de_principe_et_ou_d_une_evolution_de_la_jurisprud,decision_reasoning
fr_045_lien_vers_l_arret,fr,client_excel_v1,45,DECISION,Lien vers l'arrêt,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,113,lien_vers_l_arret,metadata
fr_046_resume_de_l_arret_en_mots_cles_resume_succint_en,fr,client_excel_v1,46,DECISION,Résumé de l'arrêt en mots clés + résumé succint en X caractères,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,115,resume_de_l_arret_en_mots_cles_resume_succint_en_x_caracteres,decision_reasoning
fr_047_rapports_sur_le_pays_d_origine_cites,fr,client_excel_v1,47,DECISION,Rapports sur le Pays d'origine cités,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,117,rapports_sur_le_pays_d_origine_cites,evidence_documents
fr_048_jurisprudence_doctrine_citees_dans_l_arret,fr,client_excel_v1,48,DECISION,Jurisprudence/Doctrine citées dans l'arrêt,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,119,jurisprudence_doctrine_citees_dans_l_arret,decision_reasoning
nl_001_datum_van_het_arrest,nl,client_excel_v1,1,Metadata van het arrest,Datum van het arrest,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,4,datum_van_het_arrest,general
nl_002_nummer_van_het_arrest,nl,client_excel_v1,2,Metadata van het arrest,Nummer van het arrest,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,6,nummer_van_het_arrest,metadata
nl_003_rechter,nl,client_excel_v1,3,Metadata van het arrest,Rechter,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,8,rechter,metadata
nl_004_advocaat,nl,client_excel_v1,4,Metadata van het arrest,Advocaat,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,10,advocaat,metadata
nl_005_kamers_fr_cce_of_nl_rvv,nl,client_excel_v1,5,Metadata van het arrest,Kamers FR ( CCE ) of NL ( RvV ),,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,12,kamers_fr_cce_of_nl_rvv,metadata
nl_006_datum_van_aankomst_van_de_verzoeker_in_belgie_da,nl,client_excel_v1,6,Metadata van het arrest,Datum van aankomst van de verzoeker in België + datum van indiening van VIB,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,14,datum_van_aankomst_van_de_verzoeker_in_belgie_datum_van_indiening_van_,general
nl_007_duur_van_de_procedure,nl,client_excel_v1,7,Metadata van het arrest,Duur van de procedure,duur in maanden tussen de datum van indiening van het VIB en de datum van de uitspraak,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,16,duur_van_de_procedure,procedure
nl_008_versnelde_procedure_of_niet,nl,client_excel_v1,8,Metadata van het arrest,Versnelde procedure of niet,Indien niet vermeld = NEE,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,18,versnelde_procedure_of_niet,procedure
nl_009_nationaliteit_van_de_verzoeker,nl,client_excel_v1,9,IDENTITEIT VAN DE VERZOEKER,Nationaliteit van de verzoeker,Vermeld of deze wordt betwist door CGVS en/of RVV,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,23,nationaliteit_van_de_verzoeker,identity
nl_010_etnische_afkomst_van_de_verzoeker,nl,client_excel_v1,10,IDENTITEIT VAN DE VERZOEKER,Etnische afkomst van de verzoeker,"Vermeld de etniciteit van de echtgenoot, moeder en/of echtgenoot, indien bekend",text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,25,etnische_afkomst_van_de_verzoeker,identity
nl_011_religie_van_de_verzoeker,nl,client_excel_v1,11,IDENTITEIT VAN DE VERZOEKER,Religie van de verzoeker,"Vermeld de religie van de echtgenoot, indien bekend",text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,27,religie_van_de_verzoeker,identity
nl_012_prevalentie_van_vgv_in_het_land_van_herkomst,nl,client_excel_v1,12,IDENTITEIT VAN DE VERZOEKER,Prevalentie van VGV in het land van herkomst,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,29,prevalentie_van_vgv_in_het_land_van_herkomst,identity
nl_013_geslacht_van_de_verzoeker,nl,client_excel_v1,13,IDENTITEIT VAN DE VERZOEKER,Geslacht van de verzoeker,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,31,geslacht_van_de_verzoeker,identity
nl_014_1_geboorteplaats_of_regio_van_de_verzoeker_2_woo,nl,client_excel_v1,14,IDENTITEIT VAN DE VERZOEKER,1. Geboorteplaats of -regio van de verzoeker 2. Woonplaats van de verzoeker,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,33,1_geboorteplaats_of_regio_van_de_verzoeker_2_woonplaats_van_de_verzoek,identity
nl_015_verzoeker_nbmv,nl,client_excel_v1,15,IDENTITEIT VAN DE VERZOEKER,Verzoeker = NBMV?,Vermeld of er een botonderzoek is uitgevoerd,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,35,verzoeker_nbmv,identity
nl_016_documenten_ter_staving_van_de_identiteit_van_de_,nl,client_excel_v1,16,IDENTITEIT VAN DE VERZOEKER,Documenten ter staving van de identiteit van de verzoeker,"Vermeld of het CGVS/RVV de bewijskracht ervan betwist en zo ja, waarom?",text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,37,documenten_ter_staving_van_de_identiteit_van_de_verzoeker,identity
nl_017_verzoeker_met_kind_eren,nl,client_excel_v1,17,PROFIEL VAN DE VERZOEKER,Verzoeker met kind(eren)?,geslacht/leeftijd/geboorteplaats en huidige woonplaats van elk kind vermelden + aangeven of het kind buiten het huwelijk is geboren,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,42,verzoeker_met_kind_eren,profile_vulnerability
nl_018_verzoeker_alleenstaande_moeder,nl,client_excel_v1,18,PROFIEL VAN DE VERZOEKER,Verzoeker = alleenstaande moeder?,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,44,verzoeker_alleenstaande_moeder,profile_vulnerability
nl_019_geboortejaar_of_leeftijd_van_de_verzoeker,nl,client_excel_v1,19,PROFIEL VAN DE VERZOEKER,Geboortejaar (of leeftijd) van de verzoeker,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,46,geboortejaar_of_leeftijd_van_de_verzoeker,profile_vulnerability
nl_020_opleidingsniveau_en_financiele_zelfstandigheid_v,nl,client_excel_v1,20,PROFIEL VAN DE VERZOEKER,Opleidingsniveau en (financiële) zelfstandigheid van de verzoeker,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,48,opleidingsniveau_en_financiele_zelfstandigheid_van_de_verzoeker,profile_vulnerability
nl_021_vgv_of_vrees_voor_vgv,nl,client_excel_v1,21,PROFIEL VAN DE VERZOEKER,VGV of vrees voor VGV?,Geef het type VGV aan (van 1 tot 4),text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,50,vgv_of_vrees_voor_vgv,profile_vulnerability
nl_022_herbesnijdenis_of_angst_voor_herbesnijdenis,nl,client_excel_v1,22,PROFIEL VAN DE VERZOEKER,Herbesnijdenis of angst voor herbesnijdenis?,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,52,herbesnijdenis_of_angst_voor_herbesnijdenis,profile_vulnerability
nl_023_gedwongen_huwelijk_en_of_vroegtijdig_huwelijk_ge,nl,client_excel_v1,23,PROFIEL VAN DE VERZOEKER,Gedwongen huwelijk en/of vroegtijdig huwelijk: gevreesd of daadwerkelijk?,"Geef aan of het om leviraatshuwelijk of sororaatshuwelijk gaat, of om polygamie. Geef de leeftijd van de gedwongen echtgenoot aan, indien bekend",text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,54,gedwongen_huwelijk_en_of_vroegtijdig_huwelijk_gevreesd_of_daadwerkelij,profile_vulnerability
nl_024_bijzondere_kwetsbaarheden_van_de_verzoeker,nl,client_excel_v1,24,PROFIEL VAN DE VERZOEKER,Bijzondere kwetsbaarheden van de verzoeker,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,56,bijzondere_kwetsbaarheden_van_de_verzoeker,profile_vulnerability
nl_025_geweld_ondergaan_tijdens_de_migratieroute,nl,client_excel_v1,25,PROFIEL VAN DE VERZOEKER,Geweld ondergaan tijdens de migratieroute?,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,58,geweld_ondergaan_tijdens_de_migratieroute,profile_vulnerability
nl_026_documenten_ingediend_ter_ondersteuning_van_de_aa,nl,client_excel_v1,26,PROFIEL VAN DE VERZOEKER,DOCUMENTEN INGEDIEND ter ondersteuning van de aanvraag:,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,61,documenten_ingediend_ter_ondersteuning_van_de_aanvraag,profile_vulnerability
nl_027_ingediend_medisch_rapport_de_aard_van_de_klinisc,nl,client_excel_v1,27,PROFIEL VAN DE VERZOEKER,Ingediend medisch rapport (de aard van de klinische observaties en voorgeschreven behandelingen vermeld),,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,63,ingediend_medisch_rapport_de_aard_van_de_klinische_observaties_en_voor,profile_vulnerability
nl_028_ingediend_psychologisch_psychiatrisch_rapport_kl,nl,client_excel_v1,28,PROFIEL VAN DE VERZOEKER,Ingediend psychologisch/psychiatrisch rapport: klinische bevindingen gespecifieerd,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,65,ingediend_psychologisch_psychiatrisch_rapport_klinische_bevindingen_ge,profile_vulnerability
nl_029_toegekende_bijzondere_procedurele_behoeften_art_,nl,client_excel_v1,29,PROFIEL VAN DE VERZOEKER,"Toegekende bijzondere procedurele behoeften (art. 22, §1/1 Opvangwet)",specificeer welke,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,67,toegekende_bijzondere_procedurele_behoeften_art_22_1_1_opvangwet,profile_vulnerability
nl_030_latere_aanvraag_toepassing_van_art_51_8,nl,client_excel_v1,30,PROCEDURE,"Latere aanvraag (toepassing van art. 51,8)?",specificeer het nieuwe element dat de ontvankelijkheid van de nieuwe aanvraag rechtvaardigt,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,72,latere_aanvraag_toepassing_van_art_51_8,procedure
nl_031_veilig_land_van_herkomst_veilig_derde_land,nl,client_excel_v1,31,PROCEDURE,Veilig land van herkomst/veilig derde land,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,74,veilig_land_van_herkomst_veilig_derde_land,procedure
nl_032_door_de_verzoeker_aangevoerde_vervolging,nl,client_excel_v1,32,PROCEDURE,DOOR DE VERZOEKER AANGEVOERDE VERVOLGING,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,77,door_de_verzoeker_aangevoerde_vervolging,procedure
nl_033_vervolging_op_grond_van_geslacht_waarop_het_vib_,nl,client_excel_v1,33,PROCEDURE,Vervolging op grond van geslacht waarop het VIB is gebaseerd: besnijdenis/gedwongen huwelijk/seksueel geweld/huiselijk geweld/slavernij/eermoord/prostitutie/mensenhandel/seksuele geaardheid/gedwongen abortus en sterilisatie/verzet tegen besnijdenis,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,79,vervolging_op_grond_van_geslacht_waarop_het_vib_is_gebaseerd_besnijden,identity
nl_034_vervolging_op_grond_van_politieke_overtuiging,nl,client_excel_v1,34,PROCEDURE,Vervolging op grond van politieke overtuiging,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,81,vervolging_op_grond_van_politieke_overtuiging,procedure
nl_035_het_behoren_tot_een_sociale_groep_met_aangeboren,nl,client_excel_v1,35,PROCEDURE,Het behoren tot een sociale groep met aangeboren kenmerken en een eigen identiteit,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,83,het_behoren_tot_een_sociale_groep_met_aangeboren_kenmerken_en_een_eige,identity
nl_036_eerdere_beslissing_tot_weigering_of_toekenning_v,nl,client_excel_v1,36,BESLISSING,Eerdere beslissing tot weigering of toekenning van de vluchtelingenstatus aan de verzoeker door een andere lidstaat,,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,88,eerdere_beslissing_tot_weigering_of_toekenning_van_de_vluchtelingensta,decision_reasoning
nl_037_geloofwaardigheid_van_het_verhaal_voordeel_van_d,nl,client_excel_v1,37,BESLISSING,"Geloofwaardigheid van het verhaal/voordeel van de twijfel ten gunste van de verzoeker Art. 48,6 &4",,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,90,geloofwaardigheid_van_het_verhaal_voordeel_van_de_twijfel_ten_gunste_v,decision_reasoning
nl_038_toepassing_van_art_48_7_vervolging_in_het_verled,nl,client_excel_v1,38,BESLISSING,Toepassing van art. 48/7 (vervolging in het verleden als ernstige aanwijzing voor toekomstige vervolging),,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,92,toepassing_van_art_48_7_vervolging_in_het_verleden_als_ernstige_aanwij,persecution_claims
nl_039_permanent_karakter_van_de_gevolgen_gezien_de_bij,nl,client_excel_v1,39,BESLISSING,"Permanent karakter van de gevolgen, gezien de bijzonder gruwelijke omstandigheden, waardoor terugkeer naar het land onmogelijk is",,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,94,permanent_karakter_van_de_gevolgen_gezien_de_bijzonder_gruwelijke_omst,decision_reasoning
nl_040_1_wie_is_de_vervolger_2_wie_is_zijn_de_bescherme,nl,client_excel_v1,40,BESLISSING,1. Wie is de vervolger? 2. Wie is/zijn de beschermer(s)?,toepassing van art. 48/5 &1 en &2,text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,96,1_wie_is_de_vervolger_2_wie_is_zijn_de_beschermer_s,decision_reasoning
nl_041_bestaat_er_effectieve_nationale_bescherming_en_o,nl,client_excel_v1,41,BESLISSING,"Bestaat er effectieve nationale bescherming en/of een mogelijkheid tot interne vlucht (art. 48,5 &3)?","Toepassing van art. 48,5 &3",text_or_structured_json,True,Critères analyse nl_Relu Lb(2).xlsx,Blad 1,98,bestaat_er_effectieve_nationale_bescherming_en_of_een_mogelijkheid_tot,identity
